Date,Bank Name,Atm's on-site,Atm's off-site,Credit card cash withdraw,Debit card cash withdraw
Feb2022,Scheduled Commercial Banks,,,,
Feb2022,Public Sector Banks,,,,
Feb2022,BANK OF BARODA,8752.0,2750.0,814.0,1260645.0
Feb2022,BANK OF INDIA,2384.0,2615.0,507.0,661442.0
Feb2022,BANK OF MAHARASHTRA,1670.0,434.0,51.0,287248.0
Feb2022,CANARA BANK,8075.0,4156.0,2418.0,1333007.0
Feb2022,CENTRAL BANK OF INDIA,2571.0,745.0,0.0,391649.0
Feb2022,INDIAN BANK,4354.0,638.0,213.0,890836.0
Feb2022,INDIAN OVERSEAS BANK,2742.0,611.0,34.0,581918.0
Feb2022,PUNJAB AND SIND BANK,1071.0,32.0,0.0,66466.0
Feb2022,PUNJAB NATIONAL BANK,8368.0,5165.0,110.0,1408144.0
Feb2022,STATE BANK OF INDIA,25939.0,38589.0,2787.0,8787522.0
Feb2022,UCO BANK,2081.0,227.0,0.0,273031.0
Feb2022,UNION BANK OF INDIA,8141.0,3195.0,271.0,1315158.0
Feb2022,Private Sector Banks,,,,
Feb2022,AXIS BANK LTD,5742.0,11208.0,1508.0,1224356.0
Feb2022,BANDHAN BANK LTD,484.0,5.0,0.0,120128.0
Feb2022,CATHOLIC SYRIAN BANK LTD,394.0,51.0,0.0,21046.0
Feb2022,CITY UNION BANK,1085.0,638.0,0.0,127539.0
Feb2022,DCB BANK LTD,334.0,19.0,14.0,17580.0
Feb2022,DHANALAKSHMI BANK LTD,214.0,44.0,4.0,18317.0
Feb2022,FEDERAL BANK LTD,1508.0,371.0,74.0,392808.0
Feb2022,HDFC BANK LTD,8356.0,9255.0,7338.0,2176917.0
Feb2022,ICICI BANK LTD,8357.0,8277.0,1860.0,1365264.0
Feb2022,IDBI LTD,2218.0,1182.0,21.0,321690.0
Feb2022,IDFC Bank Limited,506.0,214.0,388.0,115021.0
Feb2022,INDUSIND BANK LTD,1477.0,1383.0,797.0,229978.0
Feb2022,JAMMU AND KASHMIR BANK,839.0,613.0,241.0,273013.0
Feb2022,KARNATAKA BANK LTD,803.0,632.0,0.0,177089.0
Feb2022,KARUR VYSYA BANK LTD,1358.0,877.0,16.0,230024.0
Feb2022,KOTAK MAHINDRA BANK LTD,1370.0,1262.0,1154.0,421841.0
Feb2022,RATNAKAR BANK LIMITED,372.0,41.0,1030.0,28294.0
Feb2022,SOUTH INDIAN BANK,854.0,425.0,0.0,128700.0
Feb2022,TAMILNAD MERCANTILE BANK LTD,476.0,667.0,74.0,198379.0
Feb2022,YES BANK LTD,1019.0,196.0,529.0,108212.0
Jan2022,Scheduled Commercial Banks,,,,
Jan2022,Public Sector Banks,,,,
Jan2022,BANK OF BARODA,8765.0,2745.0,839.0,1291892.0
Jan2022,BANK OF INDIA,2122.0,2378.0,468.0,672067.0
Jan2022,BANK OF MAHARASHTRA,1604.0,437.0,50.0,300152.0
Jan2022,CANARA BANK,8493.0,4227.0,2293.0,1365346.0
Jan2022,CENTRAL BANK OF INDIA,2571.0,744.0,0.0,403686.0
Jan2022,INDIAN BANK,4354.0,643.0,218.0,917533.0
Jan2022,INDIAN OVERSEAS BANK,2731.0,569.0,31.0,587339.0
Jan2022,PUNJAB AND SIND BANK,1071.0,32.0,0.0,67452.0
Jan2022,PUNJAB NATIONAL BANK,8357.0,5213.0,104.0,1402624.0
Jan2022,STATE BANK OF INDIA,25858.0,38096.0,2808.0,9091545.0
Jan2022,UCO BANK,2099.0,229.0,0.0,276791.0
Jan2022,UNION BANK OF INDIA,8176.0,3245.0,319.0,1360572.0
Jan2022,Private Sector Banks,,,,
Jan2022,AXIS BANK LTD,5747.0,11233.0,1455.0,1234731.0
Jan2022,BANDHAN BANK LTD,484.0,5.0,0.0,124608.0
Jan2022,CATHOLIC SYRIAN BANK LTD,1089.0,640.0,0.0,22066.0
Jan2022,CITY UNION BANK,375.0,52.0,0.0,124194.0
Jan2022,DCB BANK LTD,333.0,28.0,15.0,18726.0
Jan2022,DHANALAKSHMI BANK LTD,213.0,45.0,4.0,19059.0
Jan2022,FEDERAL BANK LTD,1503.0,371.0,64.0,404534.0
Jan2022,HDFC BANK LTD,8261.0,9152.0,7396.0,2187482.0
Jan2022,ICICI BANK LTD,8350.0,8362.0,1828.0,1378001.0
